Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,EXCELLENT Apple MacBook Air 11 INTEL CORE i5 SSD Mac OS,$244.02,N/A,Intel Core,MacBook Air,Apple,N/A,11 in,N/A,2025-01-27 01:47:57
Laptops,"SEQUOIA Apple MacBook Pro 13"" 3.8GHz i5 Quad Core 16GB RAM 512GB SSD - WARRANTY",$487.06,16 GB,Intel Core i5,MacBook Pro (Magic Keyboard),Apple,N/A,13 in,512 GB,2025-01-27 01:46:11
Laptops,"Apple MacBook Pro A1425 10,2 13"" 2.6GHz i5 8GB RAM 256GB 10.15 Grade A No AC/Wif",$77.99,8 GB,Intel Core i5-3230M,"MacBook Pro A1425 10,2 ME662LL/A",Apple,N/A,13 in,256 GB,2025-01-27 01:46:18
Laptops," RAM MEMORY BARS FOR IMAC 21.5"" 27"" AND MAC MINI",$4.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:08
Laptops,"Apple MacBook Pro MR932LL/A 15.4"" 512GB Mac OSX, Silver",$340.00,16GB,Intel Core i7 8th Gen,MR932LL/A,Apple,N/A,15.4in.,512GB,2025-01-27 01:48:19
Laptops,MacBook Pro 13 2020 Touch Bar 2.0 GHz Intel i5 16GB 512GB Space Gray,$429.99,16 GB,Intel Core i5 10th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-27 01:47:52
Laptops,MacBook Pro 13 Space Gray Late 2016 2.0 GHz Intel Core i5 8GB 256GB Good Cond.,$199.99,8 GB,Intel Core i5 6th Gen.,MacBook Pro,Apple,N/A,13.3 in.,256 GB,2025-01-27 01:47:00
Laptops,"Apple MacBook Air Core i5 1.1GHz 8GB RAM 512GB SSD 13"" MVH22LL/A (2020) - Good",$389.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,512 GB,2025-01-27 01:47:43
Laptops,Apple 2020 Mac Mini M1 3.2GHz (8-Core GPU) 16GB RAM 1TB SSD - Excellent,$499.99,16 GB,Apple M1,A2348,Apple,N/A,N/A,1 TB,2025-01-27 01:46:39
Laptops," RAM MEMORY BARS FOR IMAC 21.5"" 27"" AND MAC MINI",$4.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:56
Laptops,"Apple MacBook Pro 13"" (2012) | i5 2.5GHz | 256GB SSD | 8GB RAM | EXCELLENT ✅ 80% 🔋-",EUR 198.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:07
Laptops,"MacBook Pro 14"" 2023 [ M3 Pro 11/CPU 14/GPU ]  18GB 512GB UK British Keyboard",$760.00,18 GB,Apple M3 Pro,A2992,Apple,N/A,14 in,512 GB,2025-01-27 01:48:11
Laptops,"Apple MLH12LL/A MacBook Pro 13"" Intel Core i7-6567U 16GB RAM 1TB SSD, Good",$328.99,16 GB,Intel Core i7,Apple MacBook Pro,Apple,N/A,13 in,1 TB,2025-01-27 01:47:37
Laptops,MacBook Pro Retina 15 Silver Mid 2015 2.5GHz i7 16GB 512GB -AMD Radeon R9 M370X,$229.99,16 GB,Intel Core i7 4th Gen.,MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-27 01:47:50
Laptops,"NEVER USED APPLE MACBOOK PRO 13"" RETINA DISPLAY, 256GB 8GB INTEL i5, ONLY 2 BC!",$399.00,8 GB,Intel Core i5 7th Gen.,MacBook Pro (Retina),Apple,N/A,13.3 in,256 GB,2025-01-27 01:48:52
Laptops,Apple MacBook Pro 16 2021 M1 Pro 3.2 GHz 10-Core CPU 16GB 1TB 16-Core GPU Gray,$979.99,16 GB,Apple M1 Pro,MacBook Pro,Apple,N/A,16 in,1 TB,2025-01-27 01:46:07
Laptops,"Apple MacBook Pro A1990 15.4'' 2018 Core i7 2.2GHz 16GB RAM 256GB SSD,Gray, Good",US $342.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:50
Laptops,Apple Mac mini M2 Chip 16GB RAM 256GB SSD Silver MMFJ3LL/A Very Good,$473.34,16,Apple M2,MMFJ3LL/A16,Apple,N/A,N/A,256GB,2025-01-27 01:47:46
Laptops,MacBook Pro 13 Space Gray 2020 1.4GHz i5 8GB 512GB SSD - Good Condition,$329.99,8 GB,Intel Core i5 8th Gen.,MacBook Pro,Apple,N/A,13 in,512 GB,2025-01-27 01:47:35
Laptops, INTERNAL SSD HARD DRIVE FOR MACBOOK PRO AND MAC MINI A1347 A1398 A1502,$31.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:27
Laptops,"Apple MacBook Pro 13"" (2012) | i5 2.5GHz | 256GB SSD | 8GB RAM | EXCELLENT ✅ 80% 🔋",$208.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:48:15
Laptops,"Apple MacBook Pro Retina 13"" Touch Bar i5 Core 16GB 256GB 13.3"" WQXGA VAT #S03",$419.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:35
Laptops,"Apple Macbook Pro 2019 Touchbar 16"" A2141 i9 2.4GHz 64GB RAM 1TB SSD MVVM2LL/A",$706.99,64 GB,Intel Core i9 9th Gen.,Apple Pro 16,Apple,N/A,16 in,1 TB,2025-01-27 01:47:36
Laptops,MacBook Pro 13 Space Gray 2017 2.5 GHz Intel Core i7 16GB 512GB Good Condition,$259.99,16 GB,Intel Core i7 7th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-27 01:48:16
Laptops,MacBook Air 11 Silver Early 2014 1.4GHz i5 4GB 128GB Rapid Hybrid Drive - Good,$89.99,4 GB,Intel Core i5 4th Gen.,MacBook Air,Apple,N/A,11 in,128 GB,2025-01-27 01:47:33
Laptops,"Apple MacBook Air A1465 5,1 11"" 1.7GHz i5 4GB RAM 64GB SSD 10.15 (Grade A No AC)",US $50.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:10
Laptops,"Apple MacBook Air Core i5 1.4GHz 8GB RAM 256GB SSD 13"" MD761LL/B 2014 Very Good",$189.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-27 01:46:00
Laptops,Apple MacBook Air 13 Early 2015 2.2GHz Intel Core i7 5th Gen 8GB 256GB Very Good,US $169.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:51
Laptops,Apple 2020 Mac Mini M1 3.2GHz (8-Core GPU) 16GB RAM 1TB SSD - Excellent,$499.99,16 GB,Apple M1,A2348,Apple,N/A,N/A,1 TB,2025-01-27 01:45:52
Laptops,"Apple MacBook Pro A1278 9,2 13"" 2.5GHz i5 16GB 240GB 10.15 Grade B No AC/Etherne",$38.99,16 GB,Intel Core i5-3210M,"MacBook Pro 9,2 A1278 MD101LL/A",Apple,N/A,13 in,240GB,2025-01-27 01:46:53
Laptops,"MACBOOK AIR LAPTOP 13' 8GB, 128SSD, BIG SUR, WEBCAM ,WIFI, BLUETOOTH",$350.00/ea,N/A,N/A,N/A,Refurbished Laptops for Sale,N/A,N/A,N/A,2025-01-27 01:46:21
Laptops,Apple MacBook Pro 13 Touch Bar Space Gray Late 2016 2.9 GHz i5 8GB 256GB - Good,$259.99,8 GB,Intel Core i5 6th Gen.,MacBook Pro,Apple,N/A,13.3 in.,256 GB,2025-01-27 01:46:12
Laptops,"Apple MacBook Pro Core i5 2.4GHz 8GB RAM 500GB HD 13"" - MD313LL/A - Good",$179.97,8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13 in,N/A,2025-01-27 01:49:33
Laptops,Apple MacBook Air 13 2020 M1 7-Core CPU 7-Core GPU 8GB 256GB  in Silver A grade,$555.00,8 GB,Apple M1,Macbook Air M1 2020,Apple,N/A,13.3 in.,256 GB,2025-01-27 01:47:42
Laptops,"Apple MacBook Air 13.3"" Core i3 1.10 GHz 8GB 128GB SSD MWTJ2LL/A",$299.99,8 GB,Intel Core i3 10th Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-27 01:46:08
Laptops,"Apple MacBook 4,2 A1369 Laptop 13"" CPU i5-2557M 4GB Ram 128GB SSD",$199.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:04
Laptops,Apple MacBook Air 2022 A2681 13in M2 8 Core GPU 8GB RAM 256GB SSD Very Good,$636.32,8 GB,Apple M2,MacBook Air,Apple,N/A,13 in,256 GB,2025-01-27 01:47:25
Laptops,"Apple MacBook Pro 13.3"" Silver 2016 i5-2.0GHz-8GBRAN-256GBSSD macOS Sonoma 2024",$285.00,8GB,Intel Core i5 6th Gen.,Apple Pro,Apple,N/A,"13 in.3""",256 GB,2025-01-27 01:48:01
Laptops, 85W INTERNAL CARD POWER SUPPLY FOR MAC MINI A1993,$136.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:20
Laptops,"Apple MacBook Pro A1278 9,2 13.3"" 2.5GHz i5 4GB 512GB 10.15 Grade B No AC/Wi-Fi/",$35.99,4 GB,Intel Core i5-3210M,"MacBook Pro A1278 9,2 MD101LL/A",Apple,N/A,13.3 in,N/A,2025-01-27 01:47:37
Laptops,"Apple MacBook Core m3 1.2GHz 8GB RAM 256GB SSD 12"" Gold MNYK2LL/A (2017) - Good",US $294.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:31
Laptops,"13"" MacBook Air 2012 Intel 2.0 i7 8GB RAM 512GB SSD Catalina Warranty Very Good",$139.00,8 GB,Intel Core i7 3rd Gen.,MacBook Air,Apple,N/A,13 in,512 GB,2025-01-27 01:47:49
Laptops,"SEQUOIA Apple MacBook Pro 13"" 3.8GHz i5 Quad Core 16GB RAM 512GB SSD - WARRANTY",US $660.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:48:05
Laptops,Apple MacBook Air Retina 13.3” Grey i5 1.1Ghz 256GB SSD 16GB 2020 VAT #B28,$493.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:49
Laptops,"Apple MacBook Pro 13"" 2017 2.3GHz Core i5 8GB RAM 128GB SSD Gray- Very Good",$276.99,8 GB,Intel Core i5 7th Gen.,A1708,Apple,N/A,13.3 in,128 GB,2025-01-27 01:47:56
Laptops,MacBook Pro 13 2020 Intel i7 16GB 512GB 2.3 GHz Touch Bar Space Gray Very Good,$509.99,16 GB,Intel Core i7 10th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-27 01:46:36
Laptops,"2020 Apple Macbook Air 13'' i5 1.1GHz 8GB RAM 256GB SSD MVH22LLA, Space Gray",$399.00,8 GB,Intel Core i5 10th Gen.,MacBook Air,Apple,N/A,13 in,256 GB,2025-01-27 01:46:39
Laptops,Apple 13.3 Macbook Pro i5 2.7GHz 8GB RAM 128GB SSD Silver MF839LL/A Very Good,$209.99,8 GB,Intel Core i5 5th Gen.,MacBook Pro,Apple,N/A,13.3 in,128 GB,2025-01-27 01:47:40
Laptops,Mdngt Apple MBK Air 15-inch 2024 M3 / 8GB RAM / 256GB SSD / 10C gpu & Applecare+,$929.99,8 GB,Apple M3,MacBook Air,Apple,N/A,15 in,256 GB,2025-01-27 01:46:24
Laptops,"Apple MacBook Pro (13-inch, 8GB RAM, 256GB SSD Storage, Magic Keyboard) - Silver",$799.00,8GB,Intel Core i5 8th Gen.,MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-27 01:48:32
Laptops, VENTILATION COVER FOR MAC MINI A1347 FROM 2010 TO 2012,$20.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:37
Laptops,2017+ MacBook Pro Retina Touchbar 15 Inch Laptop 512GB SSD 16GB RAM - EXCELLENT,US $475.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:56
Laptops,MacBook Pro Retina Mid 2012 - 2.6 GHz Quad Core i7 8GB RAM QWERTZ 500GB SSD,$257.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:28
Laptops,Apple 13.3 MacBook Air i7 2.2GHz 8GB RAM 256GB SSD Silver Z0UU1LL/A Good,$225.99,8 GB,Intel Core i7,MacBook Air,Apple,N/A,13.3,256 GB,2025-01-27 01:47:52
Laptops,BGA AMAOE REBOUND STENCILS FOR MAC 2015 TO 2024,$10.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:48:31
Laptops,MacBook Pro 14 2021 M1 Pro 8-Core CPU 14-Core GPU 16GB 512GB Space Gray - Good,US $799.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:55
Laptops,Apple Macintosh 13 inch Retina Display Laptop  2.9 MHz 16 GB  500 Gig SSD S7566x,$375.00,16 GB,2.9 GHz Dual Core i5,MacBook Pro,Apple,N/A,13 in,500 GB,2025-01-27 01:46:08
Laptops,MacBook Pro 13 Touch Bar Space Gray 2018 2.7 GHz i7 16GB 1TB Excellent Condition,$459.99,16 GB,Intel Core i7 8th Gen.,MacBook Pro,Apple,N/A,13.3 in.,1 TB,2025-01-27 01:48:04
Laptops, TOP SATA TABLECLOTH SSD HDD HARD DRIVE CABLE FOR MAC MINI A1347,$20.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:46
Laptops,"Apple MacBook Pro Core i7 2.5GHz 16GB RAM 512GB SSD 15"" MJLT2LL/A (2015) - Good",$294.97,16 GB,Intel Core i7,Apple Macbook Pro,Apple,N/A,15.4 in,512 GB,2025-01-27 01:47:31
Laptops,MacBook Pro 13 Touch Bar Space Gray 2019 2.8GHz i7 16GB 512GB Good,$389.99,16 GB,Intel Core i7 8th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-27 01:45:42
Laptops,"Apple MacBook Air Core i5 1.6GHz 8GB RAM 256GB SSD 13"" MVFJ2LL/A (2019) - Good",$334.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-27 01:48:08
Laptops,"Apple MacBook Pro 15.4"" 512GB SSD Intel Core i7 4th Gen 2.8GHz 16GB RAM, Good",$256.99,16 GB,Intel Core i7,Apple MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-27 01:47:54
Laptops,"Apple MacBook 6,2 A1466 Laptop 13"" CPU i5-4260U 8GB Ram 128GB SSD Flaws",$229.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:34
Laptops,MacBook Pro 13 Space Gray 2017 2.3GHz Intel Core i5 8GB 256GB SSD - Good Cond,$265.19,8 GB,Intel Core i5 1st Gen.,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-27 01:46:22
Laptops,"Apple MacBook Air Core i5 1.7GHz 4GB RAM 128GB SSD 11"" MD224LL/A 2012 Very Good",$129.97,4 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,11 in,128 GB,2025-01-27 01:45:58
Laptops,"Apple MacBook Pro A1278 9,2 13"" 2.5GHz i5 4GB 120GB 10.15 Grade B No AC/Wi-Fi",US $34.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:37
Laptops,"Apple MacBook 6,2 A1466 Laptop 13"" CPU i5-4260U 8GB Ram 128GB SSD Flaws",$229.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:56
Laptops,MacBook Pro 13 Retina Mid 2014 2.8 GHz Intel Core i5 16GB 512GB Good Condition,US $189.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:23
Laptops,Apple MacBook Pro 16 Silver 2019 2.6GHz i7 16GB 512GB SSD Radeon Pro 5300M,$439.99,16 GB,Intel Core i7 9th Gen.,MacBook Pro,Apple,N/A,16 in.,512 GB,2025-01-27 01:45:26
Laptops,INTERNAL HARD DRIVE AND SSD DRIVE FOR MACBOOK PRO / IMAC / MAC MINI,$20.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:48:40
Laptops,"Apple MacBook Pro A1278 9,2 13.3"" 2.5GHz i5 4GB 500GB 10.15 Grade B No AC/Wi-Fi",$35.99,4 GB,Intel Core i5-3210M,"MacBook Pro A1278 9,2 MD101LL/A",Apple,N/A,13.3 in,N/A,2025-01-27 01:47:13
Laptops,MacBook Pro 15 Touch Bar Space Gray 2018 2.6GHz 16GB 512GB - Radeon Pro 560X,$367.19,16 GB,Intel Core i7 8th Gen.,MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-27 01:45:53
Laptops,"SEQUOIA Apple MacBook Pro 13"" 4.1GHz i7 Quad Core 16GB RAM 1TB SSD - WARRANTY",$755.87,16 GB,Intel Core i7,MacBook Pro (Magic Keyboard),Apple,N/A,13 in,1 TB,2025-01-27 01:47:31
Laptops,Apple Macbook Pro Retina 13” 2015 2.7GHz i5 8GB RAM 256GBSSD  macOS Ventura 2023,$245.00,8 GB,Intel Core i5 7th Gen.,MacBook Pro (Retina),Apple,N/A,13 in,256 GB,2025-01-27 01:47:25
Laptops,MacBook Pro 16 Touch Bar Silver 2019 2.4GHz i9 16GB 1TB - AMD Radeon Pro 5500M,$429.99,16 GB,Intel Core i9 9th Gen.,MacBook Pro,Apple,N/A,16 in,1 TB,2025-01-27 01:48:38
Laptops,"Apple 2024 MacBook Air 13.6""  Laptop w/ M3 chip: 512GB SSD; 8GB RAM. NEW",$771.00,8 GB,Apple M3,MacBook Air,Apple,N/A,13 in,512 GB,2025-01-27 01:47:43
Laptops, BOTTOM CASE BOTTOM COVER COVER FOR MAC MINI A1347,$41.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:10
Laptops,MacBook Pro 16 Touch Bar Space Gray 2019 2.6GHz i7 16GB 512GB - Radeon Pro 5300M,$379.99,16 GB,Intel Core i7 9th Gen.,MacBook Pro,Apple,N/A,16 in,512 GB,2025-01-27 01:48:13
Laptops,"Apple MacBook Air MRYU3LL/A 2024 Magsafe 3 - M3 15.3"" 8GB/512GB SSD Excellent",$979.00,8 GB,Apple M3,MacBook Air,Apple,N/A,15.3 in,512 GB,2025-01-27 01:46:05
Laptops,"Apple MacBook Air M1 8-Core CPU 8GB RAM 256GB SSD 13"" MGND3LL/A (2020) - Good",$514.97,8 GB,Apple M1 8-Core CPU,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-27 01:47:48
Laptops,"2020+ Apple MacBook Pro 13"" 3.2GHz M1 TURBO 8GB RAM 256GB SSD - SEQUOIA",$605.81,8 GB,Apple M1,MacBook Pro (Magic Keyboard),Apple,N/A,13 in,256 GB,2025-01-27 01:47:30
Laptops,MacBook Air 13 2020 M1 8-Core CPU 7-Core GPU 8GB 256GB Silver - Very Good,US $469.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:18
Laptops,"13"" Apple MacBook Pro 2018 2.3GHz Intel Core i5 8GB RAM 512GB SSD Sequoia - Good",$296.10,8 GB,Intel Core i5 8th Gen.,MacBook Pro (Thunderbolt 3),Apple,N/A,13 in,512 GB,2025-01-27 01:46:04
Laptops,"Apple MacBook 6,2 A1466 Laptop 13"" CPU i5-4260U 8GB Ram 128GB SSD",$259.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:39
Laptops,"Apple MacBook MNYG2LL/A 2017 12"" LED 8GB RAM 512GB SSD Intel Core i5 Space Gray",US $299.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:57
Laptops, LOGIC BOARD MOTHERBOARD FOR MAC MINI A1347,$209.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:34
Laptops,"Apple MacBook Air Core i5 1.6GHz 4GB RAM 256GB SSD 13"" MJVG2LL/A 2015 Very Good",$214.97,4 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-27 01:47:10
Laptops,"Apple MacBook Air Core i3 1.1GHz 8GB RAM 128GB SSD 13"" MWTK2LLA (2020) Very Good",US $409.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:29
Laptops, RIGHT BLUETOOTH AIRPORT WIFI NETWORK ANTENNA FOR MAC MINI A1347,$10.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:41
Laptops,"Apple MacBook Pro 15.4"" Laptop Retina 512GB SSD 8GB RAM MC976LL/A 2012",$224.08,8 GB,Intel Core i7 3rd Gen.,MacBook Pro (Retina),Apple,N/A,15.4 in,512 GB,2025-01-27 01:48:04
Laptops,"Apple MacBook Pro Core i5 2.0GHz 16GB RAM 512GB SSD 13"" MWP72LL/A 2020 Very Good",$542.99,16 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13.3 in,512 GB,2025-01-27 01:46:29
Laptops,SEQUOIA MACBOOK PRO 15 TOUCHBAR - 8 CORE 2.3GHz i9 TURBO 32GB RAM 1TB SSD,$754.59,32 GB,Intel Core i9,MacBook Pro (Retina),Apple,N/A,15 in,1 TB,2025-01-27 01:45:28
Laptops,"Apple Macbook Pro Quad Core i7 2.3ghz 13"" 16GB RAM 1TB Silver MWP82LL/A 2020",$666.88,16 GB,Intel Core i7 10th Gen.,MacBook Pro,Apple,N/A,13 in,1 TB,2025-01-27 01:46:22
Laptops,Apple macbook pro 13 mid 2012 core i7 - C,$139.91,4 MB,Intel Core i7 3rd Gen.,N/A,Apple,N/A,13 in,N/A,2025-01-27 01:48:16
Laptops,"Apple MacBook Air Core i5 1.4GHz 8GB RAM 128GB SSD 13"" MD760LL/B (2014) - Good",$189.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-27 01:47:00
Laptops,newOS SEQUOIA MACBOOK PRO 15 TOUCHBAR - 6 CORE 2.9GHz i9  - 32GB RAM 2TB SSD,$880.68,32 GB,Intel Core i9,MacBook Pro (Retina),Apple,N/A,15 in,2 TB,2025-01-27 01:48:33
Laptops,MacBook Pro 16 Touch Bar Space Gray 2019 2.6GHz i7 16GB 1TB - Radeon Pro 5500M,$529.99,16 GB,Intel Core i7 9th Gen.,MacBook Pro,Apple,N/A,16 in,1 TB,2025-01-27 01:47:51
Laptops,SEQUOIA MACBOOK PRO 15 TOUCHBAR - 6 CORE 2.9GHz i9 TURBO 32GB RAM 1TB SSD,$660.48,32 GB,Intel Core i9,MacBook Pro (Retina),Apple,N/A,15 in,1 TB,2025-01-27 01:46:11
Laptops,"Apple MacBook Air Core i5 1.6GHz 8GB RAM 128GB SSD 13""  MJVE2LL/A (2015) - Good",$194.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-27 01:47:38
Laptops,Apple Apple MacBook Air 13.3•2560 x 1600•8210Y•Gray•13.3 inches•8GB•,$549.99,N/A,8210Y,Apple MacBook Air 13.3,Apple,N/A,13.3 in,N/A,2025-01-27 01:45:22
Laptops,Apple MacBook Pro 15'' Core i5 2.9GHz 8GB RAM 256GB SSD - Very Good,$490.99,8 GB,Intel Core i7 6th Gen.,MacBook Pro,Apple,N/A,15 in,256 GB,2025-01-27 01:46:32
Laptops,"Apple MacBook Pro Laptop Core i5 2.4GHz 8GB RAM 256GB SSD 13""",$269.99,8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-27 01:47:37
Laptops, HEAT SINK FOR MAC MINI A2348,$52.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:48:07
Laptops, APPLE MAGIC MOUSE PURPLE (PURPLE)-,EUR 89.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:22
Laptops,MacBook Pro 13 Touch Bar Space Gray 2017 3.5 GHz i7 16GB 1TB SSD Good Condition,US $339.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:16
Laptops, CHASSIS CASE SHELL FOR MAC MINI A1347,$41.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:18
Laptops,"MACBOOK PRO 13-INCH, 2017, 256GB HD, 8GB RAM, A1708 macOS VENTURA FREE SHIPPING",$349.99,8 GB,Intel Core i5 7th Gen.,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-27 01:49:37
