Category,Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Refresh Rate,Response Time,Brand,Model,Collection Date
Gaming Monitors,"ASUS TUF VG32AQA1A Gaming Monitor 31.5"" QHD 2560x1440 HDR AMD FreeSync 170Hz 1ms","€ 219,96",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:06
Gaming Monitors,"16"" 2K Portabler Monitor 120Hz Gaming Monitor 16:10 PC Bildschirm HDMI Monitor","€ 149,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:39
Gaming Monitors,"EVICIV 15,6"" 4K Tragbarer Monitore Gaming Monitor USB C HDMI Für Xbox PS6 5 4 PC","€ 79,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:53:40
Gaming Monitors,"22 Zoll HD+ Business Computer Monitor, Desktop Gaming Monitor, schwarz / silber","EUR 34,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:11
Gaming Monitors,"Acer Nitro XV272UKVbmiiprzx Monitor 27"" WQHD 2560x1440 HDR AMD FreeSync 144Hz","€ 142,96",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:19
Gaming Monitors,KTC H27P22S Gaming Monitor 27 inches Fast IPS 3840×2160 160Hz,"EUR 239,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:39
Gaming Monitors,Eyoyo 5Zoll HDMI Monitor Tragbarer IPS VGA HDMI BNC AV Anschluss CCVT Bildschirm,"€ 49,99",5 in,N/A,16,60 Hz,12 ms,Eyoyo,S501H,2025-01-27 11:55:06
Gaming Monitors,"Tragbarer UPERFECT OLED-Monitor 16"" 3K 2880x1800 120Hz Tragbarer Gaming-Monitore","€ 279,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:40
Gaming Monitors,BenQ Zowie RL2755 27 Zoll FHD E-Sport Gaming Monitor 2x HDMI 1x DVI 1x VGA,"EUR 32,50",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:10
Gaming Monitors,ASUS TUF Gaming VG279Q1R 27 Zoll IPS LED Monitor - Schwarz,"€ 150,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:30
Gaming Monitors,Tragbarer Monitor Mobile Laptop Bildschirm Erweiterung 14 Zoll 2K 2240x1400,"€ 98,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:31
Gaming Monitors,"ASUS ROG Swift PG349 34.1"" Ultra-Wide Gaming Monitor - WQHD 120Hz Not Working","€ 76,80",23.8 in,N/A,16:9,120 Hz,1 ms,ASUS,PG349,2025-01-27 11:54:43
Gaming Monitors,"TITAN P2510H 24,5 Zoll Gaming-Monitor 1920*1080 240Hz 1ms GTG HDR10 99%sRGB","€ 129,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:33
Gaming Monitors,"Monitor para jogos 32"" AOC painel VA curvo com alto-falantes e FreeSync 165Hz 1ms-","GBP 214,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:31
Gaming Monitors,"Gebraucht | 15.6"" USB-C Monitor 1920x1080 Tragbarer Monitor Gaming Monitor HDMI","€ 62,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:45
Gaming Monitors,UPERFECT Tragbarer Monitore 16 Zoll QHD 2K-Gaming-Monitor 2560*1600 500 Nits HDR,"€ 119,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:06
Gaming Monitors,"Acer Nitro ED320QRSbiipfx Monitor 31.5"" FHD 1920x1080 HDMI DP AMD FreeSync 165Hz","€ 162,96",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:04
Gaming Monitors,"Gebraucht | Touchscreen Monitor 14"" 1920x1080 Portable Monitor Mini HDMI Typ-C","€ 99,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:32
Gaming Monitors,"ASUS TUF Gaming VG1A Series 27"" Full HD Monitor - Working Cracked Screen Repair","€ 22,53",27 in,N/A,16:9,165 Hz,1 ms,ASUS,VG1A,2025-01-27 11:55:09
Gaming Monitors,"Portable Monitor 17,3 Zoll Tragbarer Monitor HDMI/USB C LCD Display PC Screen","€ 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:06
Gaming Monitors,"Monitor de computador barato 19"" 22"" 24"" TFT VGA 22"" tela plana principais marcas LEADS","EUR 22,45","17"" 19"" 22"" 23"" 24""",N/A,N/A,60 Hz,N/A,Dell HP Samsung LG Viewsonic Acer Benq,various,2025-01-27 11:54:34
Gaming Monitors,"22 Zoll HD+ Business Computer Monitor, Desktop Gaming Monitor, schwarz / silber","EUR 34,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:38
Gaming Monitors,"Monitor LED LG UltraGear 27GQ50F-B 27"" 165Hz Full HD","EUR 130,81",27 in,N/A,16:9,165 Hz,5 ms,LG,LG UltraGear 27GQ50F-B,2025-01-27 11:55:02
Gaming Monitors,"Monitor Gaming MSI Full HD 27""","€ 239,29",N/A,N/A,N/A,N/A,N/A,N/A,Non applicable,2025-01-27 11:55:19
Gaming Monitors,18 Zoll Gaming Monitor Tragbarer Monitore 144Hz 2K Bildschirm Für Spiel Xbox PS5,"€ 249,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:34
Gaming Monitors,"Monitor LG 29UB67-B 29"" UltraWide 2560 x 1080 IPS LED preto sem suporte pronto para VESA","EUR 152,19",29 in,N/A,21:9,75 Hz,5 ms,LG,29UB67-B,2025-01-27 11:53:41
Gaming Monitors,"Neu - Arzopa Z1RC 16 Zoll 2,5K Portabler Monitor 1600p 16:10 IPS - Blitzversand","€ 130,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:05
Gaming Monitors,"Tragbarer Monitor, FHD1080P 15,0-Zoll-Reise-Gaming-Monitor für Laptop, PC DE!","€ 80,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:34
Gaming Monitors,"Pacote de monitor duplo 2X22"" monitores Full HD HDMI novo suporte duplo USB-C VGA DVI-","GBP 99,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:53:59
Gaming Monitors,"Monitor para jogos ASUS MG28UQ 4K Ultra HD 28"" LCD - Preto","EUR 172,45",28 in,N/A,N/A,60 Hz,1 ms,ASUS,MG28UQ,2025-01-27 11:54:41
Gaming Monitors,"HP Omen 25 24,5 Zoll LED Gaming Monitor - Schwarz","EUR 219,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:47
Gaming Monitors,MSI G272Q 27 POLEGADAS MONITOR DE JOGOS ESPORTS NOVO EM FOLHA LACRADO,"EUR 218,83",27 in,N/A,16:9,170,1 ms,MSI,9S6-3CD39T-016 Refurb,2025-01-27 11:54:42
Gaming Monitors,"18,4-Zoll 4K Tragbarer Monitor USB-C & HDMI | 2160P | VESA kompatibel Gebraucht","EUR 159,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:35
Gaming Monitors,"UPERFECT Tragbarer Monitor 15,6 Zoll Mobiler Monitore 1080P Display USB C HDMI","€ 62,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:39
Gaming Monitors,"17,3 Zoll 4K 3840x2160 IPS LCD Gaming Monitor Tragbarer Monitor 1500:1 500nits","€ 189,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:42
Gaming Monitors,"Monitor duplo HP BARATO TFT 20"" PC MONITOR DE COMPUTADOR VGA DP DVI OFERTA DE TELA PLANA","EUR 23,77","20""",N/A,16:9,60 Hz,N/A,HP,various,2025-01-27 11:54:44
Gaming Monitors,LG 24MR400-B Monitor 24 Zoll Full HD 1920x1080 IPS VGA HDMI AMD FreeSync 100Hz,"€ 68,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:37
Gaming Monitors,"ASUS VA27D 27"" Full HD Monitor - Broken Screen For Parts or Repair","€ 15,36",27 in,N/A,16:9,75 Hz,5 ms,ASUS,VA27D,2025-01-27 11:54:51
Gaming Monitors,"Curved Gaming Monitor Z-Edge UG32P 32"" 240Hz FullHD 1920x1080 (W)","EUR 248,02",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:37
Gaming Monitors,"18,5 Zoll 120Hz Monitor Portable Monitor Gaming Bildschirm PC Monitor HDMI USB-C","EUR 154,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:01
Gaming Monitors,"LG Electronics 32GR93U-B.AEU Ultragear™ UWQHD Gaming Monitor 32"", 3840 x 2160,","€ 455,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:19
Gaming Monitors,TELA MONITOR IPS ASUS BE209QLB 20” - NOVA EM FOLHA LACRADA,"EUR 59,45",19.5 in,N/A,16:9,76 Hz,5 ms,ASUS,ASUS BE229QLB,2025-01-27 11:55:03
Gaming Monitors,"144Hz 2K 17,3 Zoll Tragbarer Monitor QHD Bildschirm Für Handy Xbox PS 4 5 Switch","€ 169,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:10
Gaming Monitors,"HP Omen 25 Gaming Monitor 24,5"" FHD 1920x1080 HDMI DP AMD FreeSync 144Hz 1ms","€ 97,96",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:47
Gaming Monitors,"UPERFECT 17,3 Zoll Tragbarer Monitor HDMI USB C 1920x1080 FHD IPS Bildschirm","€ 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:45
Gaming Monitors,"UPERFECT 14"" 2K Tragbarer Monitor Laptop-Bildschirm-Extender Für 13""-17"" Laptops","€ 109,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:48
Gaming Monitors,"Eizo Flexscan 24"" TN LED WUXGA Monitor 1920x1200 60Hz EV2416W 0FTD1946","EUR 59,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:31
Gaming Monitors,16 Zoll 144Hz Portable Monitor 2K Tragbarer Monitore QHD 2560*1600 IPS fr Mobile,"€ 76,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:07
Gaming Monitors,"UPERFECT 13,3"" IPS Tragbarer Monitor Mobiler Monitor Full HD Gaming Bildschirm","€ 99,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:36
Gaming Monitors,"KTC M27T20 27-Zoll Mini-LED Gaming Monitor mit 2560x1440 2K QHD Auflösung,165Hz","€ 279,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:37
Gaming Monitors,"Unify B5 - Upgrade 15,6 Zoll VESA Tragbarer Monitor 1920x1080 Display","EUR 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:10
Gaming Monitors,Lenovo R27q-30 Gaming Monitor 27 Zoll (68.58 cm) 165Hz 1ms HDMI DisplayPort,"EUR 179,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:40
Gaming Monitors,"AOC 24G4X Monitor Gaming 24"" IPS 1800Hz Full HD 1ms Multimediale HDMI/DisplayPor","€ 159,00",N/A,N/A,N/A,N/A,N/A,AOC,N/A,2025-01-27 11:54:37
Gaming Monitors,"Monitor de Computador HP EliteDisplay 24 - Preto, Prata","EUR 85,63",24 in,N/A,16:9,60 Hz,5 ms,HP,1FH46AA,2025-01-27 11:54:45
Gaming Monitors,"18,5 Zoll 120Hz Portable Monitor Tragbarer Monitore 1920*1080 Gaming Bildschirm","€ 99,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:36
Gaming Monitors,AOC 27G2/BK 27 Zoll Full HD IPS WLED Gaming Monitor - Unvollständig,"€ 101,40",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:34
Gaming Monitors,"Portable Gaming Monitor 17,3 Zoll 2K 2560x1440Tragbarer Monitor 144Hz für PS4/5","€ 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:46
