title,price,image_url,product_url,Memory Speed,Product Dimensions,Hard Disk Description,Flash Memory Size,Included Components,Color,Style,Specific Uses For Product,Hard Drive Interface,Graphics Coprocessor,Number of USB 3.0 Ports,Operating System,RAM,Standing screen display size,Graphics Card Description,Card Description,Power Source,Screen Size,Series,Processor,Voltage,ASIN,Batteries,Item model number,CPU Manufacturer,CPU Model,Manufacturer,Max Screen Resolution,Optical Drive Type,Ram Memory Installed Size,Special Feature,Computer Memory Type,CPU Speed,Hard Drive Rotational Speed,Brand,Processor Brand,Number of Processors,Age Range (Description),Chipset Brand,Hard Disk Size,Hard Drive,Number of USB 2.0 Ports,Item Dimensions  LxWxH,Hardware Platform,Assembly Required,Date First Available,Average Battery Life (in hours),Graphics Card Ram Size,Model Name,Wireless Type,Country of Origin,Item Weight,Material,Screen Resolution
"HP Newest 15.6"" HD Display Laptop, AMD Athlon Silver 3050Uup to 3.2GHz,Beat ...",MAD 6875,https://m.media-amazon.com/images/I/61PoO0x23QL._AC_US218_.jpg,https://www.ubuy.ma/en/product/IBXXG2HSW-hp-newest-15-6-hd-display-laptop-amd-athlon-silver-3050u-up-to-3-2ghz-beat-i3-8130u-16gb-ram-1tb-ssd-1-year-office365-wifi-bluetooth-hdmi-we,,‎12.4 x 9.69 x 0.75 inches,,,,32GB RAM,,,‎Solid State,‎NVIDIA GeForce RTX 4060,,Windows 11 Pro,‎DDR5,‎14 Inches,Dedicated,‎Dedicated,,14 Inches (35.6 cm),‎MSI Stealth 14 Studio,‎2.4 GHz core_i7,,,,‎Stealth 14Studio A13VF-250US,,Core i7,,‎1920x1200 Pixels,,32 GB,Backlit Keyboard,‎DDR5 RAM,,,EXCaliberPC,‎Intel,‎10,,‎NVIDIA,4 TB,‎4 TB SSD,,‎12.4 x 9.69 x 0.75 inches,‎PC,,2024-11-28 03:44:37,,,MSI Stealth 14 Studio,,,‎3.75 pounds,,
"2022 Newest HP 15.6"" HD Display Laptop Computer, 11th Gen Intel Core i3-1115G4Up to ...",MAD 5249,https://m.media-amazon.com/images/I/71TtnvnnDfL._AC_SS57_.jpg,https://www.ubuy.ma/en/product/4Q0SWLLGI-2022-newest-hp-15-6-hd-display-laptop-computer-11th-gen-intel-core-i3-1115g4-up-to-4-1ghz-16gb-ram-256gb-ssd-webcam-bluetooth-wi-fi,,‎12.4 x 9.69 x 0.75 inches,,,,32GB RAM,,,‎Solid State,‎NVIDIA GeForce RTX 4060,,Windows 11 Pro,‎DDR5,‎14 Inches,Dedicated,‎Dedicated,,14 Inches (35.6 cm),‎MSI Stealth 14 Studio,‎2.4 GHz core_i7,,,,‎Stealth 14Studio A13VF-250US,,Core i7,,‎1920x1200 Pixels,,32 GB,Backlit Keyboard,‎DDR5 RAM,,,EXCaliberPC,‎Intel,‎10,,‎NVIDIA,4 TB,‎4 TB SSD,,‎12.4 x 9.69 x 0.75 inches,‎PC,,2024-11-28 03:44:37,,,MSI Stealth 14 Studio,,,‎3.75 pounds,,
"HP Pavilion 14"" FHD 1920x1080 IPS Laptop | AMD Ryzen 7 5825U 8-Core | AMD Radeon ...",MAD 12750,https://m.media-amazon.com/images/I/61VX-3EGe2L._AC_US218_.jpg,https://www.ubuy.ma/en/product/MJ8UTJDXG-hp-pavilion-14-fhd-1920x1080-ips-laptop-amd-ryzen-7-5825u-8-core-amd-radeon-graphics-usb-c-backlit-keyboard-fingerprint-hdmi-2-1,,20 x 10.1 x 0.85 inches (50.8 x 25.7 x 2.2 cm),,,,,,,,Intel Graphics,,Windows 11 Home,16 GB Onboard ONLY,16 Inches (40.6 cm),,,,16 Inches (40.6 cm),IdeaPad 5i,1.8 GHz core_i7,,B0DNRD8Y92,,,Intel,Core i7,,,No Optical Drive,,,SDRAM,1.8 GHz,,Lenovo,Intel,,,,2 TB,2 TB,,20 x 10.1 x 0.85 inches (50.8 x 25.7 x 2.2 cm),PC,,"November 26, 2024",,,IdeaPad 5i,,,4.5 pounds (2.04 kg),,1920x1200
"Lenovo IdeaPad 5i School & Business 2-in-1 Laptop 16.0"" Touchscreen IPS FHD+ ...",MAD 11397,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MRQ5LDPIU-lenovo-ideapad-5i-school-business-2-in-1-laptop-16-0-touchscreen-ips-wuxga-display-intel-core-7-150u-16gb-lpddr5x-1tb-m-2-pcie-ssd,,20 x 10.1 x 0.85 inches (50.8 x 25.7 x 2.2 cm),,,,,,,,Intel Graphics,,Windows 11 Home,16 GB Onboard ONLY,16 Inches (40.6 cm),,,,16 Inches (40.6 cm),IdeaPad 5i,1.8 GHz core_i7,,B0DNRD8Y92,,,Intel,Core i7,,,No Optical Drive,,,SDRAM,1.8 GHz,,Lenovo,Intel,,,,2 TB,2 TB,,20 x 10.1 x 0.85 inches (50.8 x 25.7 x 2.2 cm),PC,,"November 26, 2024",,,IdeaPad 5i,,,4.5 pounds (2.04 kg),,1920x1200
EXCaliberPC [2024] MSI Stealth 14Studio A13VF-250US Pro Extreme Intel Core ...,MAD 29707,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MRDPANI38-excaliberpc-2024-msi-stealth-14studio-a13vf-250us-pro-extreme-intel-core-i7-13620h-32gb-ddr5-ram-4tb-nvme-ssd-nvidia-geforce-rtx-4060-14,,20 x 10.1 x 0.85 inches (50.8 x 25.7 x 2.2 cm),,,,,,,,Intel Graphics,,Windows 11 Home,16 GB Onboard ONLY,16 Inches (40.6 cm),,,,16 Inches (40.6 cm),IdeaPad 5i,1.8 GHz core_i7,,B0DNRD8Y92,,,Intel,Core i7,,,No Optical Drive,,,SDRAM,1.8 GHz,,Lenovo,Intel,,,,2 TB,2 TB,,20 x 10.1 x 0.85 inches (50.8 x 25.7 x 2.2 cm),PC,,"November 26, 2024",,,IdeaPad 5i,,,4.5 pounds (2.04 kg),,1920x1200
"Lenovo ThinkPad X1 Carbon 20QES8X600, 14  Full HD Laptop, i5-8265U, 8GB Ram, 512GB ...",MAD 14253,https://m.media-amazon.com/images/I/41vDYAxU4wL._SS100_.jpg,https://www.ubuy.ma/en/product/8EBALP1MC-lenovo-2023-thinkpad-x1-carbon-gen-9-14-0-wuxga-ips-low-blue-light-business-laptop-intel-core-i7-1185g7-vpro-16gb-ram-512gb-pcie-ssd-intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 5i School & Business 2-in-1 Laptop 16.0"" Touchscreen IPS FHD+ ...",MAD 13037,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MVKERS63U-lenovo-ideapad-5i-school-business-2-in-1-laptop-16-0-touchscreen-ips-wuxga-display-intel-core-7-150u-16gb-lpddr5x-2tb-m-2-pcie-ssd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 2024 Inspiron 15 Students and Business Laptop, Free Lifetime Microsoft Office ...",MAD 7695,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M1JIUJN22-dell-2024-inspiron-15-students-and-business-laptop-free-lifetime-microsoft-office-2021-15-6-fhd-16gb-ram-512gb-ssd-intel-6-core-i3-1215u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion 15.6"" FHD Laptop | Intel 8-Core CPU | 16GB RAM | 1TB Storage 512GB SSD ...",MAD 7831,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MVAUTW3VY-newest-pavilion-15-6-fhd-laptop-intel-8-core-cpu-16gb-ram-1tb-storage-512gb-ssd-500gb-p500-portable-ssd-red-wi-fi-6,1.8 GHz,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),,,,,,,USB 3.1,Intel UHD Graphics,2,Windows 10 Pro,64 GB SO-DIMM,14 Inches (35.6 cm),Integrated,Integrated,Battery Powered,14 Inches (35.6 cm),ThinkPad L14,1.8 GHz core_i7,,B08JYJ8Q3T,,20U1002BUS-859-121101,,Core i7,,1920 x 1080 Pixels,,64 GB,,DDR4 SDRAM,1.8 GHz,,Lenovo,Intel,4,,Intel,4 TB,4 TB SSD,,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),PC,,"September 23, 2020",,,ThinkPad L14,Bluetooth,,3.56 pounds (1.61 kg),,1920 x 1080
"Alienware m16 R2 Gaming Laptop 16.0"" 240Hz WQXGA Intel Ultra 7-155H 16-Core, ...",MAD 29981,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JUXBH6L6E-m16-r2-gaming-laptop-intel-ultra-7-155h-16-core-16gb-ddr5-5600mhz-ram-2x512gb-pcie-ssd-raid-0-1tb-geforce-rtx-4070-16-0-240-hz-wide-qxga,1.8 GHz,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),,,,,,,USB 3.1,Intel UHD Graphics,2,Windows 10 Pro,64 GB SO-DIMM,14 Inches (35.6 cm),Integrated,Integrated,Battery Powered,14 Inches (35.6 cm),ThinkPad L14,1.8 GHz core_i7,,B08JYJ8Q3T,,20U1002BUS-859-121101,,Core i7,,1920 x 1080 Pixels,,64 GB,,DDR4 SDRAM,1.8 GHz,,Lenovo,Intel,4,,Intel,4 TB,4 TB SSD,,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),PC,,"September 23, 2020",,,ThinkPad L14,Bluetooth,,3.56 pounds (1.61 kg),,1920 x 1080
"HP Newest Pavilion 15.6"" Touchscreen Laptop   Intel 12th-Gen 6 Core Processor   ...",MAD 10701,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LUFRXPYGW-hp-newest-15-6-touchscreen-laptop-intel-12th-gen-6-core-processor-64gb-ram-1tb-pcie-ssd-type-c-webcam-bluetooth-wi-fi-hdmi-long-battery,1.8 GHz,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),,,,,,,USB 3.1,Intel UHD Graphics,2,Windows 10 Pro,64 GB SO-DIMM,14 Inches (35.6 cm),Integrated,Integrated,Battery Powered,14 Inches (35.6 cm),ThinkPad L14,1.8 GHz core_i7,,B08JYJ8Q3T,,20U1002BUS-859-121101,,Core i7,,1920 x 1080 Pixels,,64 GB,,DDR4 SDRAM,1.8 GHz,,Lenovo,Intel,4,,Intel,4 TB,4 TB SSD,,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),PC,,"September 23, 2020",,,ThinkPad L14,Bluetooth,,3.56 pounds (1.61 kg),,1920 x 1080
"ASUS ROG Strix G16 Gaming Laptop, 16"" Nebula Display QHD 240 Hz, Intel 24-Core ...",MAD 32440,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MRDVKQAOE-asus-rog-strix-g16-gaming-laptop-16-nebula-display-qhd-240-hz-intel-24-core-i9-14900hx-geforce-rtx-4070-32-gb-ddr5-2-tb-ssd-4-zone-rgb,1.8 GHz,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),,,,,,,USB 3.1,Intel UHD Graphics,2,Windows 10 Pro,64 GB SO-DIMM,14 Inches (35.6 cm),Integrated,Integrated,Battery Powered,14 Inches (35.6 cm),ThinkPad L14,1.8 GHz core_i7,,B08JYJ8Q3T,,20U1002BUS-859-121101,,Core i7,,1920 x 1080 Pixels,,64 GB,,DDR4 SDRAM,1.8 GHz,,Lenovo,Intel,4,,Intel,4 TB,4 TB SSD,,9.25 x 13.03 x 0.8 inches (23.5 x 33.1 x 2 cm),PC,,"September 23, 2020",,,ThinkPad L14,Bluetooth,,3.56 pounds (1.61 kg),,1920 x 1080
"acer Nitro V Gaming Laptop | i7-13620H | RTX 4050 | 15.6"" FHD IPS 144Hz | 16GB DDR5 ...",MAD 13591,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JH29055ZA-acer-nitro-v-gaming-laptop-i7-13620h-rtx-4050-15-6-fhd-ips-144hz-16gb-ddr5-512gb-gen-4-ssd-wifi-6-anv15-51-73b9-nitro-gen-2-wired,,12.76 x 0.71 x 8.86 inches (32.4 x 1.8 x 22.5 cm),,,,Black,,,,Intel UHD Graphics,3,Windows 11 Home,DDR4,14 Inches (35.6 cm),Integrated,Integrated,,14 Inches (35.6 cm),HP HD Laptop,1.1 GHz celeron_n,,B0D9KFFXR4,,HP HD Laptop,,Celeron N,,1366x768 Pixels,No Optical Drive,4 GB,"WiFi, Webcam, HD Audio, Memory Card Slot",DDR4 SDRAM,,,HP,Intel,4,,Intel,128 GB,128 GB SSD,,12.76 x 0.71 x 8.86 inches (32.4 x 1.8 x 22.5 cm),,,"July 16, 2024",,,HP HD Laptop,"Bluetooth, 802.11ac",,3.24 pounds (1.47 kg),,1366 x 768 pixels
"Lenovo ThinkPad L14 Home and Business Laptop Intel i7-10510U 4-Core, 64GB RAM, 4TB ...",MAD 34216,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/426HQ5WAG-lenovo-thinkpad-l14-home-and-business-laptop-intel-i7-10510u-4-core-64gb-ram-4tb-pcie-ssd-intel-uhd-graphics-14-0-full-hd-1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"acer Nitro V Gaming Laptop | i7-13620H | RTX 4050 | 15.6"" FHD IPS 144Hz | 16GB DDR5 ...",MAD 13816,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JH2LPD1FG-acer-nitro-v-gaming-laptop-i7-13620h-rtx-4050-15-6-fhd-ips-144hz-16gb-ddr5-512gb-gen-4-ssd-wifi-6-anv15-51-73b9-usb-type-c-gen-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop for Student Business Computer - 14"" HD Display, Intel Quad-Core N4120, ...",MAD 4429,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MELU2TFVM-hp-newest-laptop-for-student-business-computer-14-hd-display-intel-quad-core-n4120-8gb-ram-384gb-storage-128gb-emmc-256gb-sd-card-wifi,,9.57 x 13.98 x 0.9 inches (24.3 x 35.5 x 2.3 cm),,,,,,,,GeForce RTX 4070,,Windows 11 Pro,20 GB SO-DIMM,16 Inches (40.6 cm),Dedicated,Dedicated,,16 Inches (40.6 cm),ROG Zephyrus G16,2.4 GHz core_i7,,B0DDCX4XHL,,,,Core i7,,1920 x 1200 pixels,,20 GB,,DDR4 SDRAM,2.4 GHz,,ASUS,Intel,,,NVIDIA,512 GB,512 GB,,9.57 x 13.98 x 0.9 inches (24.3 x 35.5 x 2.3 cm),PC,,"October 29, 2024",,,ROG Zephyrus G16,,,4.6 pounds (2.09 kg),,1920 x 1200
"HP 14 Lightweight Business and Student Laptop 14"" HD Anti-Glare Intel Celeron ...",MAD 3186,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M5IUWQ3Y0-hp-14-business-laptop-14-hd-anti-glare-intel-celeron-quad-core-n4120-8gb-ram-128gb-emmc-usb-c-fast-charge-long-lasting-battery-office-365-for,,9.57 x 13.98 x 0.9 inches (24.3 x 35.5 x 2.3 cm),,,,,,,,GeForce RTX 4070,,Windows 11 Pro,20 GB SO-DIMM,16 Inches (40.6 cm),Dedicated,Dedicated,,16 Inches (40.6 cm),ROG Zephyrus G16,2.4 GHz core_i7,,B0DDCX4XHL,,,,Core i7,,1920 x 1200 pixels,,20 GB,,DDR4 SDRAM,2.4 GHz,,ASUS,Intel,,,NVIDIA,512 GB,512 GB,,9.57 x 13.98 x 0.9 inches (24.3 x 35.5 x 2.3 cm),PC,,"October 29, 2024",,,ROG Zephyrus G16,,,4.6 pounds (2.09 kg),,1920 x 1200
"HP 14"" HD Laptop | Quad-core Intel Celeron N4120 Processor | Intel UHD Graphics| ...",MAD 3336,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MIHXM823O-hp-14-hd-laptop-quad-core-intel-celeron-n4120-processor-intel-uhd-graphics-one-year-office-365-silver-8gb-ram-128gb-ssd-windows-11,,9.57 x 13.98 x 0.9 inches (24.3 x 35.5 x 2.3 cm),,,,,,,,GeForce RTX 4070,,Windows 11 Pro,20 GB SO-DIMM,16 Inches (40.6 cm),Dedicated,Dedicated,,16 Inches (40.6 cm),ROG Zephyrus G16,2.4 GHz core_i7,,B0DDCX4XHL,,,,Core i7,,1920 x 1200 pixels,,20 GB,,DDR4 SDRAM,2.4 GHz,,ASUS,Intel,,,NVIDIA,512 GB,512 GB,,9.57 x 13.98 x 0.9 inches (24.3 x 35.5 x 2.3 cm),PC,,"October 29, 2024",,,ROG Zephyrus G16,,,4.6 pounds (2.09 kg),,1920 x 1200
"ASUS ROG Zephyrus G16 Gaming Laptop 16.0"" 165Hz OLED WUXGA Display Intel i7-13620H, ...",MAD 24857,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MBPEBS96W-asus-rog-zephyrus-g16-gaming-entertainment-laptop-intel-i7-13620h-10-core-20gb-ram-512gb-pcie-ssd-geforce-rtx-4070-16-0-165-hz-win-11,,‎15.04 x 10.24 x 0.75 inches,,,,"17"" QHD+ | i7-13700HX | RTX 3000 ADA | 11 Pro",,,‎Solid State,‎NVIDIA,‎1,Windows 11 Pro,,‎17 Inches,NVIDIA RTX 3000 ADA,‎NVIDIA RTX 3000 ADA,‎AC & Battery,17 Inches (43.2 cm),‎MSI CreatorPro Z17HXStudio A13VKT-403US,‎1.5 GHz apple_ci7,,,,‎MS-CreatorZ1713403-HID12,,Intel Core i7,,‎2560 x 1600 Pixels,,96 GB,Backlit Keyboard,‎DDR5 SDRAM,,,HIDevolution,‎Intel,‎16,,‎NVIDIA,8 TB,‎8 TB SSD,,‎15.04 x 10.24 x 0.75 inches,‎PC,,2025-01-04 09:09:18,,‎8 GB,MSI CreatorPro Z17HXStudio A13VKT-403US,,,‎5.49 pounds,,
"HIDevolution [2024] MSI Summit A16 AI+ A3HMTG [Black] 16"" QHD+ 165Hz Touch, 1.4 GHz ...",MAD 26961,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/N26L1UBTC-2024-msi-summit-a16-ai-a3hmtg-black-16-qhd-165hz-touch-1-4-ghz-ultra-7-155h-rtx-4060-32-gb-lpddr5x-4-tb-pcie-ssd-windows-11-pro,,‎15.04 x 10.24 x 0.75 inches,,,,"17"" QHD+ | i7-13700HX | RTX 3000 ADA | 11 Pro",,,‎Solid State,‎NVIDIA,‎1,Windows 11 Pro,,‎17 Inches,NVIDIA RTX 3000 ADA,‎NVIDIA RTX 3000 ADA,‎AC & Battery,17 Inches (43.2 cm),‎MSI CreatorPro Z17HXStudio A13VKT-403US,‎1.5 GHz apple_ci7,,,,‎MS-CreatorZ1713403-HID12,,Intel Core i7,,‎2560 x 1600 Pixels,,96 GB,Backlit Keyboard,‎DDR5 SDRAM,,,HIDevolution,‎Intel,‎16,,‎NVIDIA,8 TB,‎8 TB SSD,,‎15.04 x 10.24 x 0.75 inches,‎PC,,2025-01-04 09:09:18,,‎8 GB,MSI CreatorPro Z17HXStudio A13VKT-403US,,,‎5.49 pounds,,
"HIDevolution [2024] MSI CreatorPro 16 AI Studio A1VMG 16"" UHD+ 120Hz, 3.8 GHz Ultra ...",MAD 45817,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M6IDCQYQU-2024-msi-creatorpro-16-ai-studio-a1vmg-16-uhd-120hz-3-8-ghz-ultra-9-185h-rtx-3000-ada-96-gb-ddr5-ram-2-tb-pcie-ssd-windows-11-pro,,‎15.04 x 10.24 x 0.75 inches,,,,"17"" QHD+ | i7-13700HX | RTX 3000 ADA | 11 Pro",,,‎Solid State,‎NVIDIA,‎1,Windows 11 Pro,,‎17 Inches,NVIDIA RTX 3000 ADA,‎NVIDIA RTX 3000 ADA,‎AC & Battery,17 Inches (43.2 cm),‎MSI CreatorPro Z17HXStudio A13VKT-403US,‎1.5 GHz apple_ci7,,,,‎MS-CreatorZ1713403-HID12,,Intel Core i7,,‎2560 x 1600 Pixels,,96 GB,Backlit Keyboard,‎DDR5 SDRAM,,,HIDevolution,‎Intel,‎16,,‎NVIDIA,8 TB,‎8 TB SSD,,‎15.04 x 10.24 x 0.75 inches,‎PC,,2025-01-04 09:09:18,,‎8 GB,MSI CreatorPro Z17HXStudio A13VKT-403US,,,‎5.49 pounds,,
"HIDevolution [2024] MSI Prestige 16 AI Evo B1MG [Gray] 16"" QHD+, 1.4 GHz Ultra ...",MAD 24911,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/N23NGPNOO-2024-msi-prestige-16-ai-evo-b1mg-gray-16-qhd-1-4-ghz-ultra-7-155h-intel-arc-32-gb-lpddr5-4-tb-pcie-ssd-windows-11-pro,,‎15.04 x 10.24 x 0.75 inches,,,,"17"" QHD+ | i7-13700HX | RTX 3000 ADA | 11 Pro",,,‎Solid State,‎NVIDIA,‎1,Windows 11 Pro,,‎17 Inches,NVIDIA RTX 3000 ADA,‎NVIDIA RTX 3000 ADA,‎AC & Battery,17 Inches (43.2 cm),‎MSI CreatorPro Z17HXStudio A13VKT-403US,‎1.5 GHz apple_ci7,,,,‎MS-CreatorZ1713403-HID12,,Intel Core i7,,‎2560 x 1600 Pixels,,96 GB,Backlit Keyboard,‎DDR5 SDRAM,,,HIDevolution,‎Intel,‎16,,‎NVIDIA,8 TB,‎8 TB SSD,,‎15.04 x 10.24 x 0.75 inches,‎PC,,2025-01-04 09:09:18,,‎8 GB,MSI CreatorPro Z17HXStudio A13VKT-403US,,,‎5.49 pounds,,
"HIDevolution [2024] MSI Vector 16 HX A14VFG 16"" QHD+ 240Hz, 1.6 GHz i9-14900HX, RTX ...",MAD 35296,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IXJDVC2IS-2024-msi-vector-16-hx-a14vfg-16-qhd-240hz-1-6-ghz-i9-14900hx-rtx-4060-96-gb-ddr5-ram-4-tb-pcie-ssd-windows-11-pro,1.6 GHz,12.7 x 8.4 x 0.7 inches (32.3 x 21.3 x 1.8 cm),,,,Silver,,,Solid State,Intel UHD Graphics Integrated,,Windows 10,8 GB DDR4,14 Inches (35.6 cm),Integrated,Integrated,AC & Battery,14 Inches (35.6 cm),Lenovo Yoga C740 2-in-1,1.6 GHz core_i5,,B08D3CVRN7,,Lenovo Yoga C740,,Core i5,,Full HD ( 1920 x 1080 ) IPS Touchscreen,,8 GB,"Backlit Keyboard,Fingerprint,Pen",DDR SDRAM,,1.00,Lenovo,Intel,4,,Intel,512 GB,512 GB SSD,,12.7 x 8.4 x 0.7 inches (32.3 x 21.3 x 1.8 cm),Convertible 2 in 1 Laptop Computer,,"July 16, 2020",13 Hours,,Lenovo Yoga C740 2-in-1,802.11ac,,3.09 pounds (1.4 kg),,1920x1080
