title,price,image_url,product_url,Color,Human Interface Input,Memory Storage Capacity,Connectivity technologies,Ram Memory Installed Size,Shape,Battery Capacity,Battery Power Rating,Screen Size,Whats in the box,Standing screen display size,Wireless Communication Standard,Style,GPS,Product Dimensions,Date First Available,Wireless communication technologies,Item model number,Battery Cell Composition,OS,Special features,Operating System,Scanner Resolution,Manufacturer,Special Feature,Item Weight,Department,Package Dimensions,ASIN,Connectivity Technology,Brand,Country of Origin,Batteries,Is Discontinued By Manufacturer
"Smart Watch for Men Women Answer/Make Calls, Sports Fitness with 100 Sports, Alexa ...",MAD 876,https://m.media-amazon.com/images/I/71skBOh+KHL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MRSHMA4QW-smart-watch-for-men-women-answer-make-calls-sports-fitness-with-100-sports-alexa-built-in-heart-rate-spo2-sleep-stress-monitor-smartwatch-for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch, Built-in Alexa, GPS, HRV, VO2 Max, Sports Tracking, SpO2, Sleep ...",MAD 1416,https://m.media-amazon.com/images/I/61vOEf0D86L._AC_US218_.jpg,https://www.ubuy.ma/en/product/MVDUSAL28-smart-watch-built-in-alexa-gps-hrv-vo2-max-sports-tracking-spo2-sleep-monito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",MAD 1122,https://m.media-amazon.com/images/I/61IiAwla6HL._AC_US218_.jpg,https://www.ubuy.ma/en/product/8RQ4ELEKG-fitness-tracker-call-receive-dial-1-8-smart-watch-with-24h-heart-rate-sleep-spo2-monitor-alexa-built-in-100-sports-modes-ip68-waterproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",MAD 1122,https://m.media-amazon.com/images/I/61IiAwla6HL._AC_SL1500_.jpg,https://www.ubuy.ma/en/product/J4RY7KE0M-woneligo-smart-watch-for-women-with-text-and-call-alexa-built-in-24h-heart-rate-sleep-blood-oxygen-monitor-5atm-waterproof-100-sports-modes-1-8-mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...","MAD 248                                                                        
                                                                            275",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/J4QMCS4C8-smartwatch-for-men-women-with-bluetooth-call-1-43-amoled-screen-round-smart-watch-compatible-android-ios-phone-100-sport-mode-wrist-fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...","MAD 248                                                                        
                                                                            330",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JHTU32B54-smartwatch-for-men-women-with-bluetooth-call-1-43-amoled-screen-round-smart-watch-compatible-android-ios-phone-100-sport-mode-wrist-fitness-tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Watch for Women Men with Heart Rate Monitor Blood Pressure Blood Oxygen ...,MAD 371,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MRNB8QFLC-telescepe-smart-watch-for-women-men-with-heart-rate-monitor-blood-pressure-blood-oxygen-monitor-sleep-tracker-fitness-watch-compatible-with-iphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch Men with Metal Bezel, Answer Make Call/Heart Rate/Step Counter/Sleep ...",MAD 384,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IK724A6MO-smart-watch-for-men-with-answer-make-call-fitness-sport-watch-with-alexa-heart-rate-step-counter-sleep-tracker-100-sports-for-run-ip68-waterproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,"MAD 603                                                                        
                                                                            822",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MD0YPRXIU-smartwatch-for-men-android-iphone-watch-smart-watch-answer-make-call-with-heart-rate-blood-pressure-pedometer-compass-barometer-sport-fitness-tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart WatchAnswer/Make Call, 1.96"" Smart Watch for Men Women IP68 Waterproof, ...","MAD 330                                                                        
                                                                            685",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/I5DM5VJPY-smart-watch-answer-make-call-2023-newest-1-96-smart-watch-for-men-women-ip68-waterproof-smartwatch-for-android-ios-with-100-sport-modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watches for Men Women, 1.3"" Smart Watch150+ DIY Dials, Fitness Tracker ...",MAD 562,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MQTAOCCSI-ichpulg-smart-watches-for-men-1-3-smart-watch-150-diy-dials-fitness-tracker-smartwatch-with-heart-rate-spo2-sleep-monitor-calories-step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watches for Men Women,Built-in Alexa, Fitness Watch with Blood Oxygen/Heart ...",MAD 289,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MCDEAFFFQ-smart-watches-for-men-women-built-in-alexa-fitness-watch-with-blood-oxygen-heart-rate-sleep-monitor-100-sport-modes-ip68-waterproof-smart-watch-for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.39''HD Smart Watch for Men Fitness TrackerAnswer/Dial CallBluetooth Call Military ...,"MAD 1054                                                                        
                                                                            1148",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BN7VMYEXK-smart-watch-for-men-fitness-tracker-make-answer-call-bluetooth-call-1-39-x27-x27-hd-military-smartwatch-fitness-watch-for-android-ios-outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",MAD 330,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MXIUTYLYW-smart-watch-answer-make-calls-ultra-thin-1-43-amoled-smart-watches-for-men-women-100-sport-modes-fitness-tracker-with-blood-oxygen-heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fashion Smartwatch for Men Women, Alexa Built-in Smart WatchMake/Answer Call, 2 ...",MAD 453,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M53U1LVOU-smartwatch-fitness-tracker-for-men-women-teens-alexa-built-in-ip68-waterproof-watch-with-blueooth-call-100-sports-modes-heart-rate-sleep-spo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDDOW Men's Smart Watch with Earbuds Make/Answer Calls, Fitness Tracker and Sleep ...","MAD 1149                                                                        
                                                                            1792",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JUKVLVMG4-military-smart-watch-with-earbuds-for-men-round-1-53-hd-big-screen-make-answer-calls-fitness-tracker-with-sleep-monitor-100-sports-modes-for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...","MAD 603                                                                        
                                                                            643",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4RLEAOMO6-ekton-smart-watch-bluetooth-watch-compatible-with-android-and-iphone-advanced-smart-watches-for-women-and-men-with-multisport-function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...","MAD 603                                                                        
                                                                            643",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4XR0XIAU4-ekton-smart-watch-make-and-receive-calls-voice-assistant-wireless-charging-hd-full-touch-screen-with-double-tap-screen-on-health-monitor-message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watch for Android iOS Phones, HD Display Smartwatch for Women Men Built-in ...",MAD 876,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MBO3RDIDU-smart-watches-for-women-men-answer-make-calls-compatible-ios-android-phones-1-8-hd-screen-fitness-tracker-smartwatches-heart-rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WalkerFit Men Smart Watches - Round Smart Watch Make/Answer, Waterproof Fitness ...",MAD 669,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JTKF79WLS-slim-smart-watches-for-men-round-smart-watch-for-men-make-answer-call-waterproof-fitness-watch-with-pedometer-blood-pressure-heart-rate-monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watches for Men- Answer/Dial Calls,Waterproof Fitness Watch 150+ Sport Modes ...",MAD 535,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JSJK09HX6-android-smart-watches-for-men-smart-watch-for-women-men-reloj-inteligente-para-hombre-waterproof-fitness-tracker-150-sport-modes-smartwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Watches for Men Women with Bluetooth Call, Activity Fitness Tracker 1.96"" HD ...",MAD 1231,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IC0IUQQUQ-smart-watch-for-men-with-bluetooth-call-activity-fitness-tracker-1-96-hd-full-touch-screen-with-heart-rate-sleep-monitor-waterproof-smartwatches,,,,,,Round,2.7E+2 Milliamp Hours,,1.32 Inches (3.4 cm),,1.32 Inches (3.4 cm),Bluetooth,Modern,,,"August 12, 2024",,,Lithium Ion,,,"iOS 7.1 and above versions, Android 4.4 and above versions",,Erkwei,"Make/Answer Call, SNS/SMS Notification, 10 Contacts, Pedometer, Distance, Calorie, Heart Rate, Blood Oxygen, Blood Pressure, Sleep, Women Cycle Monitor, 20 Sports Modes, Synchronize data to Apple Health/Google Fit, 200+ Watch Faces, Customized Dials, AI Voice Control, Find Phone/Watch, Sedentary/Drink Reminders, Music/Camera Control, Weather Display, Vibration Alarm Clock, Timer, Stopwatch, Raise to Wake, Brightness Adjustment, 3 Menu Style, Smart Split Screen, Password, IP67 Waterproof    See more",6.7 ounces (189.95 grams),,11.81 x 3.97 x 0.68 inches (30 x 10.1 x 1.7 cm),B0DCVL17H2,Bluetooth,Erkwei,China,1 Lithium Polymer batteries required. (included),
"Smart Watch for Women,Fitness WatchAnswer/Make Call,Alexa Built-in, [24H Heart Rate ...",MAD 1149,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IJ5VGFGBQ-smart-watch-for-women-fitness-watch-answer-make-call-alexa-built-in-24h-heart-rate-sleep-blood-oxygen-monitor-5atm-waterproof-100-sports-modes,,,,,,Round,2.7E+2 Milliamp Hours,,1.32 Inches (3.4 cm),,1.32 Inches (3.4 cm),Bluetooth,Modern,,,"August 12, 2024",,,Lithium Ion,,,"iOS 7.1 and above versions, Android 4.4 and above versions",,Erkwei,"Make/Answer Call, SNS/SMS Notification, 10 Contacts, Pedometer, Distance, Calorie, Heart Rate, Blood Oxygen, Blood Pressure, Sleep, Women Cycle Monitor, 20 Sports Modes, Synchronize data to Apple Health/Google Fit, 200+ Watch Faces, Customized Dials, AI Voice Control, Find Phone/Watch, Sedentary/Drink Reminders, Music/Camera Control, Weather Display, Vibration Alarm Clock, Timer, Stopwatch, Raise to Wake, Brightness Adjustment, 3 Menu Style, Smart Split Screen, Password, IP67 Waterproof    See more",6.7 ounces (189.95 grams),,11.81 x 3.97 x 0.68 inches (30 x 10.1 x 1.7 cm),B0DCVL17H2,Bluetooth,Erkwei,China,1 Lithium Polymer batteries required. (included),
Smart Watch for Android Phones Answer Make Calls SMS Reminder Smartwatch Compatible ...,MAD 876,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/80A9SX7TI-smart-watch-for-android-phones-answer-make-calls-heart-rate-blood-oxygen-sms-reminder-smartwatch-compatible-iphone-bluetooth-stainless-steel-fitness,,,,,,Round,2.7E+2 Milliamp Hours,,1.32 Inches (3.4 cm),,1.32 Inches (3.4 cm),Bluetooth,Modern,,,"August 12, 2024",,,Lithium Ion,,,"iOS 7.1 and above versions, Android 4.4 and above versions",,Erkwei,"Make/Answer Call, SNS/SMS Notification, 10 Contacts, Pedometer, Distance, Calorie, Heart Rate, Blood Oxygen, Blood Pressure, Sleep, Women Cycle Monitor, 20 Sports Modes, Synchronize data to Apple Health/Google Fit, 200+ Watch Faces, Customized Dials, AI Voice Control, Find Phone/Watch, Sedentary/Drink Reminders, Music/Camera Control, Weather Display, Vibration Alarm Clock, Timer, Stopwatch, Raise to Wake, Brightness Adjustment, 3 Menu Style, Smart Split Screen, Password, IP67 Waterproof    See more",6.7 ounces (189.95 grams),,11.81 x 3.97 x 0.68 inches (30 x 10.1 x 1.7 cm),B0DCVL17H2,Bluetooth,Erkwei,China,1 Lithium Polymer batteries required. (included),
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...","MAD 603                                                                        
                                                                            671",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4JDKJR4EQ-ekton-smart-watch-bluetooth-watch-compatible-with-android-and-iphone-advanced-smart-watches-for-women-and-men-with-multisport-function,,,,,,Round,2.7E+2 Milliamp Hours,,1.32 Inches (3.4 cm),,1.32 Inches (3.4 cm),Bluetooth,Modern,,,"August 12, 2024",,,Lithium Ion,,,"iOS 7.1 and above versions, Android 4.4 and above versions",,Erkwei,"Make/Answer Call, SNS/SMS Notification, 10 Contacts, Pedometer, Distance, Calorie, Heart Rate, Blood Oxygen, Blood Pressure, Sleep, Women Cycle Monitor, 20 Sports Modes, Synchronize data to Apple Health/Google Fit, 200+ Watch Faces, Customized Dials, AI Voice Control, Find Phone/Watch, Sedentary/Drink Reminders, Music/Camera Control, Weather Display, Vibration Alarm Clock, Timer, Stopwatch, Raise to Wake, Brightness Adjustment, 3 Menu Style, Smart Split Screen, Password, IP67 Waterproof    See more",6.7 ounces (189.95 grams),,11.81 x 3.97 x 0.68 inches (30 x 10.1 x 1.7 cm),B0DCVL17H2,Bluetooth,Erkwei,China,1 Lithium Polymer batteries required. (included),
